key	bgcolor	dx	dy	edgecolor	frame	play	player	player_num	team	x	y	z	player_has_ball	player_action	player_role	vx	vy	v	v_theta	vx_norm	vy_norm
0	NA	-0	-0	NA	0	Bournemouth 0 - 3 Liverpool	0	NA	NA	70.67540799942294	14.545536089264832	0	FALSE	NA	NA	-0	-0	0	NaN	NaN	NaN
1	NA	-1.2064688373113301	0.6412342031545945	NA	1	Bournemouth 0 - 3 Liverpool	0	NA	NA	69.46893916211161	15.186770292419418	0	FALSE	NA	NA	-24.1293767462266	12.824684063091889	27.325799960467105	-0.48852632945115665	-0.8830254477868956	0.46932510966360247
2	NA	-1.1333495138379535	0.6023715241755371	NA	2	Bournemouth 0 - 3 Liverpool	0	NA	NA	68.33558964827367	15.789141816594963	0	FALSE	NA	NA	-22.66699027675907	12.047430483510741	25.669690871954693	-0.4885263294511491	-0.8830254477868991	0.4693251096635958
3	NA	-1.0602301903645013	0.5635088451964605	NA	3	Bournemouth 0 - 3 Liverpool	0	NA	NA	67.27535945790915	16.352650661791422	0	FALSE	NA	NA	-21.204603807290024	11.27017690392921	24.013581783440763	-0.48852632945115615	-0.8830254477868958	0.4693251096636019
4	NA	-0.9871108668911095	0.5246461662173937	NA	4	Bournemouth 0 - 3 Liverpool	0	NA	NA	66.28824859101805	16.877296828008816	0	FALSE	NA	NA	-19.74221733782219	10.492923324347872	22.357472694927992	-0.48852632945114627	-0.8830254477869004	0.4693251096635933
5	NA	-0.9139915434177026	0.4857834872383364	NA	5	Bournemouth 0 - 3 Liverpool	0	NA	NA	65.37425704760035	17.363080315247156	0	FALSE	NA	NA	-18.27983086835405	9.715669744766728	20.701363606415043	-0.48852632945115004	-0.8830254477868986	0.46932510966359664
6	NA	-0.840872219944258	0.44692080825925984	NA	6	Bournemouth 0 - 3 Liverpool	0	NA	NA	64.53338482765609	17.810001123506414	0	FALSE	NA	NA	-16.817444398885158	8.938416165185195	19.045254517901245	-0.4885263294511551	-0.8830254477868964	0.4693251096636011
7	NA	-0.7677528964708511	0.4080581292802026	NA	7	Bournemouth 0 - 3 Liverpool	0	NA	NA	63.76563193118523	18.218059252786617	0	FALSE	NA	NA	-15.355057929417022	8.1611625856040515	17.3891454293883	-0.48852632945116026	-0.8830254477868938	0.4693251096636057
8	NA	-0.6946335729974593	0.36919545030113565	NA	8	Bournemouth 0 - 3 Liverpool	0	NA	NA	63.07099835818777	18.58725470308774	0	FALSE	NA	NA	-13.892671459949186	7.383909006022713	15.733036340875527	-0.48852632945114677	-0.8830254477869002	0.4693251096635938
9	NA	-0.6215142495240299	0.3303327713220591	NA	9	Bournemouth 0 - 3 Liverpool	0	NA	NA	62.449484108663746	18.91758747440982	0	FALSE	NA	NA	-12.430284990480597	6.606655426441182	14.076927252362	-0.48852632945114316	-0.883025447786902	0.46932510966359053
