key	bgcolor	dx	dy	edgecolor	frame	play	player	player_num	team	x	y	z	player_has_ball	player_action	player_role	vx	vy	v	v_theta	vx_norm	vy_norm
0	NA	0.139637791673236	0.08490705193871008	NA	0	Liverpool [2] - 0 Porto	0	NA	NA	73.4239775792113	61.222764719861416	0	FALSE	NA	NA	2.79275583346472	1.6981410387742015	3.2685116081972767	0.5463191327391095	0.8544426846949593	0.51954566553025
1	NA	0.1375196561741736	0.07978076235382503	NA	1	Liverpool [2] - 0 Porto	0	NA	NA	73.56149723538547	61.30254548221524	0	FALSE	NA	NA	2.750393123483472	1.5956152470765006	3.179724885962333	0.5256891393786034	0.8649783305548697	0.5018092144137158
2	NA	0.13480126879536714	0.07402198564402282	NA	2	Liverpool [2] - 0 Porto	0	NA	NA	73.69629850418085	61.37656746785925	0	FALSE	NA	NA	2.6960253759073427	1.4804397128804563	3.075752683654831	0.5021668397688908	0.876541664170388	0.4813259924140881
3	NA	0.13148262953681272	0.06763072180944846	NA	3	Liverpool [2] - 0 Porto	0	NA	NA	73.82778113371765	61.444198189668704	0	FALSE	NA	NA	2.6296525907362542	1.3526144361889691	2.95713350408004	0.47507741983841867	0.889257311889385	0.4574072947070969
4	NA	0.1275637383985143	0.0606069708499666	NA	4	Liverpool [2] - 0 Porto	0	NA	NA	73.95534487211617	61.50480516051867	0	FALSE	NA	NA	2.5512747679702854	1.212139416999332	2.824585794045795	0.4435391258316709	0.9032385468157325	0.42913882083331034
5	NA	0.12304459538047172	0.0529507327656836	NA	5	Liverpool [2] - 0 Porto	0	NA	NA	74.07838946749665	61.55775589328435	0	FALSE	NA	NA	2.460891907609434	1.059014655313672	2.6790858554937604	0.4063830578304982	0.9185565675557221	0.39528955488382195
6	NA	0.11792520048265112	0.04466200755656075	NA	6	Liverpool [2] - 0 Porto	0	NA	NA	74.1963146679793	61.60241790084092	0	FALSE	NA	NA	2.3585040096530223	0.893240151131215	2.521987139368934	0.3620382467569292	0.9351768582940437	0.35418108886737887
7	NA	0.11220555370512031	0.03574079522258841	NA	7	Liverpool [2] - 0 Porto	0	NA	NA	74.30852022168442	61.638158696063506	0	FALSE	NA	NA	2.244111074102406	0.7148159044517682	2.355206209690832	0.3083685997921473	0.9528299750861265	0.3035045939971439
8	NA	0.10588565504783033	0.02618709576370861	NA	8	Liverpool [2] - 0 Porto	0	NA	NA	74.41440587673226	61.664345791827216	0	FALSE	NA	NA	2.1177131009566064	0.5237419152741721	2.181516530255571	0.24244987855146818	0.9707527179308196	0.24008157078361184
9	NA	0.09896550451076237	0.01600090918007595	NA	9	Liverpool [2] - 0 Porto	0	NA	NA	74.51337138124302	61.68034670100729	0	FALSE	NA	NA	1.9793100902152474	0.320018183601519	2.005013733385262	0.16029453570310315	0.9871803156546881	0.1596089733815443
10	NA	0.09144510209395783	0.005182235471545482	NA	10	Liverpool [2] - 0 Porto	0	NA	NA	74.60481648333698	61.68552893647884	0	FALSE	NA	NA	1.8289020418791564	0.10364470943090963	1.831836484128091	0.05660990436475191	0.9983980872341173	0.05657967309251511
11	NA	0.08332444779740918	-0.0062689253618054865	NA	11	Liverpool [2] - 0 Porto	0	NA	NA	74.68814093113438	61.67926001111703	0	FALSE	NA	NA	1.6664889559481835	-0.12537850723610972	1.6711987345537398	-0.07509365481315082	0.9971817962112005	-0.07502309847642957
12	NA	0.07460354162111266	-0.018352573319996283	NA	12	Liverpool [2] - 0 Porto	0	NA	NA	74.76274447275549	61.660907437797036	0	FALSE	NA	NA	1.4920708324222531	-0.36705146639992564	1.5365552863309446	-0.2412117187252965	0.971049233109657	-0.23887944004695563
13	NA	0.06528238356504944	-0.03106870840304623	NA	13	Liverpool [2] - 0 Porto	0	NA	NA	74.82802685632055	61.62983872939399	0	FALSE	NA	NA	1.3056476713009886	-0.6213741680609245	1.4459673918547058	-0.4441926665511326	0.9029578942484086	-0.42972903231510884
14	NA	0.0553609736292647	-0.04441733061097467	NA	14	Liverpool [2] - 0 Porto	0	NA	NA	74.88338782994981	61.58542139878302	0	FALSE	NA	NA	1.107219472585294	-0.8883466122194934	1.4195403002077494	-0.6761552317972421	0.7799845290924482	-0.6257987970397769
15	NA	0.04483931181371324	-0.0583984399436946	NA	15	Liverpool [2] - 0 Porto	0	NA	NA	74.92822714176351	61.527022958839325	0	FALSE	NA	NA	0.8967862362742648	-1.1679687988738918	1.4725408886390499	-0.9159895459652164	0.6090059998966084	-0.7931656145408299
16	NA	0.03371739811840641	-0.07301203640123505	NA	16	Liverpool [2] - 0 Porto	0	NA	NA	74.96194453988193	61.45401092243809	0	FALSE	NA	NA	0.6743479623681282	-1.460240728024701	1.6084303398444568	-1.1381679991099514	0.4192584196299984	-0.9078669382510612
17	NA	0.02219622529538505	-0.08806889181699433	NA	17	Liverpool [2] - 0 Porto	0	NA	NA	74.98414076517732	61.36594203062109	0	FALSE	NA	NA	0.443924505907701	-1.7613778363398864	1.8164583257798061	-1.3239056144664523	0.24439014075212767	-0.9696769869926558
18	NA	0.011079764352865454	-0.10281209352425663	NA	18	Liverpool [2] - 0 Porto	0	NA	NA	74.99522052953017	61.26312993709683	0	FALSE	NA	NA	0.22159528705730908	-2.0562418704851324	2.0681477464587017	-1.4634435062367532	0.1071467391228444	-0.9942432178774675
19	NA	5.690080427981314e-4	-0.11705241335624635	NA	19	Liverpool [2] - 0 Porto	0	NA	NA	74.99578953757296	61.14607752374059	0	FALSE	NA	NA	0.011380160855962627	-2.341048267124927	2.341075927232974	-1.565935226160296	0.004861081489746198	-0.9999881848735765
20	NA	-0.009336043634734068	-0.13078985131306978	NA	20	Liverpool [2] - 0 Porto	0	NA	NA	74.98645349393823	61.01528767242751	0	FALSE	NA	NA	-0.18672087269468135	-2.6157970262613954	2.6224528149993134	1.499535178411687	-0.07120085121330591	-0.9974619986678693
21	NA	-0.018635390679776334	-0.14402440739468828	NA	21	Liverpool [2] - 0 Porto	0	NA	NA	74.96781810325847	60.87126326503282	0	FALSE	NA	NA	-0.3727078135955267	-2.8804881478937654	2.9045004879448055	1.442120735955046	-0.12832079565572765	-0.9917327126813358
22	NA	-0.027329033092313607	-0.15675608160108256	NA	22	Liverpool [2] - 0 Porto	0	NA	NA	74.94048907016615	60.71450718343175	0	FALSE	NA	NA	-0.5465806618462721	-3.1351216320216513	3.182410732051162	1.3981900191949157	-0.17175050861331906	-0.9851404787090348
23	NA	-0.03541697087233836	-0.1689848739323202	NA	23	Liverpool [2] - 0 Porto	0	NA	NA	74.90507209929382	60.545522309499425	0	FALSE	NA	NA	-0.7083394174467672	-3.379697478646404	3.4531289836143806	1.364200072290361	-0.20512973040044113	-0.9787347923241732
24	NA	-0.04289920401986563	-0.1807107843883142	NA	24	Liverpool [2] - 0 Porto	0	NA	NA	74.86217289527396	60.364811525111115	0	FALSE	NA	NA	-0.8579840803973127	-3.6142156877662837	3.7146590314470496	1.3377192361508559	-0.2309724992614151	-0.9729602790376057
25	NA	-0.049775732534914276	-0.19193381296911297	NA	25	Liverpool [2] - 0 Porto	0	NA	NA	74.81239716273903	60.172877712142	0	FALSE	NA	NA	-0.9955146506982855	-3.838676259382259	3.9656632287802633	1.317048444000271	-0.2510335833546008	-0.9679783778722274
26	NA	-0.05604655641742781	-0.20265395967471647	NA	26	Liverpool [2] - 0 Porto	0	NA	NA	74.7563506063216	59.97022375246728	0	FALSE	NA	NA	-1.1209311283485561	-4.053079193494329	4.205227406839898	1.3009777291048827	-0.26655660203425297	-0.9638192662070794
27	NA	-0.06171167566745518	-0.21287122450510537	NA	27	Liverpool [2] - 0 Porto	0	NA	NA	74.69463893065415	59.757352527962176	0	FALSE	NA	NA	-1.2342335133491036	-4.257424490102107	4.432718765542797	1.2886298163539236	-0.2784371350023982	-0.9604544558966116
28	NA	-0.06677109028497379	-0.22258560746031833	NA	28	Liverpool [2] - 0 Porto	0	NA	NA	74.62786784036918	59.53476692050186	0	FALSE	NA	NA	-1.3354218056994756	-4.451712149206366	4.647697543787591	1.2793584590796225	-0.2873297569641737	-0.9578317236148055
29	NA	-0.0712248002699836	-0.2317971085402877	NA	29	Liverpool [2] - 0 Porto	0	NA	NA	74.5566430400992	59.302969811961574	0	FALSE	NA	NA	-1.4244960053996718	-4.6359421708057535	4.849860686705834	1.2726812430467844	-0.2937189534751834	-0.9558918225246218
30	NA	-0.07507280562251857	-0.24050572774509077	NA	30	Liverpool [2] - 0 Porto	0	NA	NA	74.48157023447668	59.06246408421648	0	FALSE	NA	NA	-1.5014561124503714	-4.810114554901815	5.039005109036194	1.2682343572079462	-0.2979667771635885	-0.9545762409083648
31	NA	-0.07831510634250335	-0.24871146507467928	NA	31	Liverpool [2] - 0 Porto	0	NA	NA	74.40325512813416	58.8137526191418	0	FALSE	NA	NA	-1.566302126850067	-4.974229301493585	5.215003307421042	1.2657416002079418	-0.3003453755477377	-0.9538305171187847
