key	bgcolor	dx	dy	edgecolor	frame	play	player	player_num	team	x	y	z	player_has_ball	player_action	player_role	vx	vy	v	v_theta	vx_norm	vy_norm
0	NA	0	0	NA	0	Liverpool [2] - 1 Chelsea	0	NA	NA	60.43463606128113	66.45899392044626	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
1	NA	0.12485664420937356	-0.029733429987005598	NA	1	Liverpool [2] - 1 Chelsea	0	NA	NA	60.5594927054905	66.42926049045924	0	FALSE	NA	NA	2.497132884187471	-0.5946685997401119	2.566963845636962	-0.2337860619234565	0.9727962816585118	-0.23166224204944025
2	NA	0.10890658734883657	-0.03765034464414725	NA	2	Liverpool [2] - 1 Chelsea	0	NA	NA	60.66839929283934	66.39161014581511	0	FALSE	NA	NA	2.178131746976731	-0.753006892882945	2.3046208555675993	-0.33284992951347897	0.9451150030664305	-0.32673786278719097
3	NA	0.093910030876591	-0.045131593727812745	NA	3	Liverpool [2] - 1 Chelsea	0	NA	NA	60.76230932371593	66.34647855208729	0	FALSE	NA	NA	1.87820061753182	-0.9026318745562548	2.0838382520392145	-0.447993951000241	0.9013178521383988	-0.43315831911279684
4	NA	0.07986697479274979	-0.05217717723801172	NA	4	Liverpool [2] - 1 Chelsea	0	NA	NA	60.842176298508676	66.29430137484928	0	FALSE	NA	NA	1.5973394958549958	-1.0435435447602344	1.9080033005288664	-0.5786923078854219	0.8371785810916785	-0.5469296329157196
5	NA	0.06677741909719245	-0.058787095174744196	NA	5	Liverpool [2] - 1 Chelsea	0	NA	NA	60.90895371760587	66.23551427967455	0	FALSE	NA	NA	1.335548381943849	-1.175741903494884	1.7793421548838226	-0.7218486434286571	0.7505854780532921	-0.6607733651831853
6	NA	0.05464136378996415	-0.0649613475380005	NA	6	Liverpool [2] - 1 Chelsea	0	NA	NA	60.963595081395844	66.17055293213656	0	FALSE	NA	NA	1.092827275799283	-1.2992269507600098	1.697722628791887	-0.8714705108673204	0.643701896449921	-0.7652763347358751
7	NA	0.04345880887110255	-0.07069993432780962	NA	7	Liverpool [2] - 1 Chelsea	0	NA	NA	61.00705389026694	66.09985299780872	0	FALSE	NA	NA	0.869176177422051	-1.4139986865561922	1.6597769467553902	-1.0196425871414	0.5236704721807092	-0.8519209098067925
8	NA	0.033229754340539874	-0.07600285554412323	NA	8	Liverpool [2] - 1 Chelsea	0	NA	NA	61.04028364460749	66.0238501422646	0	FALSE	NA	NA	0.6645950868107975	-1.5200571108824645	1.6589937461477653	-1.15862329134218	0.40060132134554927	-0.9162524659373094
9	NA	0.0239542001983213	-0.08087011118698001	NA	9	Liverpool [2] - 1 Chelsea	0	NA	NA	61.0642378448058	65.94298003107762	0	FALSE	NA	NA	0.479084003966426	-1.6174022237396002	1.6868643799115286	-1.2828240265291233	0.2840086077290651	-0.9588217304253164
10	NA	0.015632146444431783	-0.08530170125637028	NA	10	Liverpool [2] - 1 Chelsea	0	NA	NA	61.079869991250234	65.85767832982127	0	FALSE	NA	NA	0.31264292888863565	-1.7060340251274055	1.734444492013648	-1.3895502618544375	0.1802553672534454	-0.9836198465750504
11	NA	0.008263593078886371	-0.08929762575228439	NA	11	Liverpool [2] - 1 Chelsea	0	NA	NA	61.08813358432912	65.76838070406897	0	FALSE	NA	NA	0.1652718615777274	-1.7859525150456879	1.7935833335051332	-1.4785192400866052	0.0921461849529694	-0.995745489871088
12	NA	0.001848540101639884	-0.09285788467474163	NA	12	Liverpool [2] - 1 Chelsea	0	NA	NA	61.089982124430755	65.67552281939423	0	FALSE	NA	NA	0.03697080203279768	-1.8571576934948324	1.8575256495429597	-1.5508917599807668	0.019903252502539746	-0.9998019106502147
13	NA	-0.0036130124872474317	-0.09598247802371304	NA	13	Liverpool [2] - 1 Chelsea	0	NA	NA	61.08636911194352	65.57954034137053	0	FALSE	NA	NA	-0.07226024974494863	-1.9196495604742607	1.9210091042788486	1.5331716735974554	-0.037615776824792974	-0.9992922762304668
14	NA	-0.00812106468781323	-0.09867140579923728	NA	14	Liverpool [2] - 1 Chelsea	0	NA	NA	61.0782480472557	65.4808689355713	0	FALSE	NA	NA	-0.1624212937562646	-1.9734281159847455	1.9801008069349806	1.4886772821874006	-0.08202678024644527	-0.9966301256345813
15	NA	-0.011675616500019855	-0.10092466800126602	NA	15	Liverpool [2] - 1 Chelsea	0	NA	NA	61.06657243075568	65.37994426757002	0	FALSE	NA	NA	-0.2335123300003971	-2.0184933600253205	2.0319555735125023	1.4556218632906897	-0.11491999778161505	-0.9933747500867302
16	NA	-0.014276667923950156	-0.10274226462984756	NA	16	Liverpool [2] - 1 Chelsea	0	NA	NA	61.05229576283172	65.27720200294017	0	FALSE	NA	NA	-0.2855333584790031	-2.054845292596951	2.0745887484781527	1.4327243309372852	-0.13763371592970441	-0.9904831953341668
17	NA	0.6546482111139058	-0.3097003863086116	NA	17	Liverpool [2] - 1 Chelsea	0	NA	NA	61.70694397394563	64.96750161663155	0	FALSE	NA	NA	13.092964222278116	-6.194007726172231	14.484179087464229	-0.4418798877837229	0.9039493466087987	-0.4276395430330617
18	NA	0.608124987989046	-0.28769122179937373	NA	18	Liverpool [2] - 1 Chelsea	0	NA	NA	62.31506896193468	64.67981039483219	0	FALSE	NA	NA	12.16249975978092	-5.753824435987474	13.45484656348178	-0.4418798877837365	0.903949346608793	-0.427639543033074
19	NA	0.5616017648642164	-0.2656820572901262	NA	19	Liverpool [2] - 1 Chelsea	0	NA	NA	62.87667072679889	64.41412833754207	0	FALSE	NA	NA	11.232035297284328	-5.3136411458025234	12.425514039499799	-0.44187988778371734	0.9039493466088011	-0.4276395430330566
20	NA	0.5150785417393716	-0.24367289278087867	NA	20	Liverpool [2] - 1 Chelsea	0	NA	NA	63.39174926853827	64.17045544476117	0	FALSE	NA	NA	10.301570834787432	-4.873457855617573	11.39618151551754	-0.4418798877837062	0.9039493466088059	-0.42763954303304663
