key	bgcolor	dx	dy	edgecolor	frame	play	player	player_num	team	x	y	z	player_has_ball	player_action	player_role	vx	vy	v	v_theta	vx_norm	vy_norm
0	NA	0	0	NA	0	Liverpool [3] - 0 Bournemouth	0	NA	NA	49.17823129251701	7.571428571428571	0	FALSE	NA	NA	0	0	0	NaN	NaN	NaN
1	NA	0.19688927822787705	0.8279542780125957	NA	1	Liverpool [3] - 0 Bournemouth	0	NA	NA	49.37512057074488	8.399382849441169	0	FALSE	NA	NA	3.937785564557541	16.559085560251912	17.02085396636083	1.3373305620851004	0.23135064623314347	0.9728704325281485
2	NA	0.18937851557072494	0.7963701911129766	NA	2	Liverpool [3] - 0 Bournemouth	0	NA	NA	49.56449908631562	9.195753040554145	0	FALSE	NA	NA	3.7875703114144987	15.927403822259532	16.37155708481133	1.3373305620850628	0.23135064623318008	0.97287043252814
3	NA	0.18186775291351254	0.7647861042132802	NA	3	Liverpool [3] - 0 Bournemouth	0	NA	NA	49.74636683922913	9.960539144767424	0	FALSE	NA	NA	3.6373550582702507	15.295722084265604	15.722260203260047	1.337330562085074	0.23135064623316925	0.9728704325281425
4	NA	0.17435699025631524	0.7332020173136129	NA	4	Liverpool [3] - 0 Bournemouth	0	NA	NA	49.92072382948544	10.693741162081036	0	FALSE	NA	NA	3.4871398051263047	14.664040346272257	15.0729633217094	1.3373305620850755	0.23135064623316776	0.9728704325281429
5	NA	0.16684622759912543	0.7016179304139553	NA	5	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.08757005708456	11.395359092494992	0	FALSE	NA	NA	3.3369245519825084	14.032358608279104	14.423666440158977	1.3373305620850702	0.23135064623317295	0.9728704325281415
6	NA	0.15933546494192813	0.6700338435143169	NA	6	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.24690552202649	12.06539293600931	0	FALSE	NA	NA	3.1867092988385624	13.400676870286338	13.774369558608894	1.3373305620850815	0.231350646233162	0.9728704325281442
7	NA	0.15182470228473077	0.638449756614611	NA	7	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.39873022431123	12.703842692623917	0	FALSE	NA	NA	3.0364940456946155	12.76899513229222	13.125072677057497	1.33733056208507	0.2313506462331731	0.9728704325281415
8	NA	0.14431393962753347	0.6068656697149726	NA	8	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.54304416393876	13.310708362338895	0	FALSE	NA	NA	2.8862787925506694	12.13731339429945	12.475775795507412	1.3373305620850824	0.23135064623316112	0.9728704325281444
9	NA	0.13680317697034367	0.5752815828153246	NA	9	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.679847340909106	13.885989945154213	0	FALSE	NA	NA	2.736063539406873	11.505631656306491	11.826478913957176	1.33733056208508	0.2313506462331634	0.9728704325281439
10	NA	0.12929241431314634	0.5436974959156088	NA	10	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.80913975522225	14.429687441069825	0	FALSE	NA	NA	2.5858482862629266	10.873949918312174	11.177182032405586	1.3373305620850624	0.23135064623318055	0.9728704325281398
11	NA	0.12178165165594905	0.5121134090159996	NA	11	Liverpool [3] - 0 Bournemouth	0	NA	NA	50.930921406878205	14.941800850085825	0	FALSE	NA	NA	2.435633033118981	10.242268180319991	10.52788515085607	1.3373305620850893	0.2313506462331543	0.9728704325281461
12	NA	0.11427088899875172	0.4805293221163032	NA	12	Liverpool [3] - 0 Bournemouth	0	NA	NA	51.045192295876944	15.422330172202129	0	FALSE	NA	NA	2.285417779975034	9.610586442326063	9.878588269304858	1.337330562085079	0.2313506462331642	0.9728704325281436
