key	bgcolor	dx	dy	edgecolor	frame	play	player	player_num	team	x	y	z	player_has_ball	player_action	player_role	vx	vy	v	v_theta	vx_norm	vy_norm
0	NA	-0	-0	NA	0	Liverpool [3] - 0 Norwich	0	NA	NA	88.08650842304128	4.483841164727435	0	FALSE	NA	NA	-0	-0	0	NaN	NaN	NaN
1	NA	0.023351640408410007	0.16095133012987506	NA	1	Liverpool [3] - 0 Norwich	0	NA	NA	88.1098600634497	4.64479249485731	0	FALSE	NA	NA	0.46703280816820014	3.219026602597501	3.2527299168753445	1.4267165549394036	0.14358179747577807	0.9896384528875304
2	NA	0.01838170125085135	0.14513775946333968	NA	2	Liverpool [3] - 0 Norwich	0	NA	NA	88.12824176470055	4.789930254320641	0	FALSE	NA	NA	0.36763402501702697	2.9027551892667933	2.925943004428746	1.4448170209214513	0.12564633844903036	0.992075096771586
3	NA	0.013559501149446828	0.13048086626112138	NA	3	Liverpool [3] - 0 Norwich	0	NA	NA	88.14180126584999	4.920411120581762	0	FALSE	NA	NA	0.2711900229889365	2.6096173252224273	2.623670446658611	1.4672485457553046	0.10336283786491247	0.9946437169904165
4	NA	0.008885040104215279	0.11698065052319123	NA	4	Liverpool [3] - 0 Norwich	0	NA	NA	88.1506863059542	5.037391771104954	0	FALSE	NA	NA	0.17770080208430558	2.3396130104638244	2.3463517668484846	1.4949888029465201	0.07573493650655179	0.9971279854624222
5	NA	0.004358318115111502	0.1046371122495492	NA	5	Liverpool [3] - 0 Norwich	0	NA	NA	88.1550446240693	5.142028883354512	0	FALSE	NA	NA	0.08716636230223003	2.092742244990984	2.0945567738036863	1.529168645437086	0.041615659882036575	0.9991336931825403
6	NA	-2.0664817819309182e-5	0.09345025144021463	NA	6	Liverpool [3] - 0 Norwich	0	NA	NA	88.1550239592515	5.2354791347947165	0	FALSE	NA	NA	-4.132963563861836e-4	1.8690050288042925	1.8690050745007656	-1.5705751950465707	-2.2113174652379163e-4	0.9999999755503751
7	NA	-0.004251908694611046	0.08342006809516817	NA	7	Liverpool [3] - 0 Norwich	0	NA	NA	88.15077205055688	5.3188992028898845	0	FALSE	NA	NA	-0.08503817389222092	1.6684013619033633	1.6705671478333104	-1.5198705427201296	-0.05090377480636657	0.9987035624801098
8	NA	-0.008335413515229817	0.07454656221441952	NA	8	Liverpool [3] - 0 Norwich	0	NA	NA	88.142436637041655	5.393445765104304	0	FALSE	NA	NA	-0.16670827030459634	1.4909312442883904	1.5002225243553966	-1.4594439915436397	-0.11112236191509402	0.9938067320573004
9	NA	-0.012271179279701984	0.0668297337979783	NA	9	Liverpool [3] - 0 Norwich	0	NA	NA	88.13016545776195	5.460275498902282	0	FALSE	NA	NA	-0.24542358559403968	1.336594675959566	1.358940051720197	-1.389200617708696	-0.18059927314922636	0.9835567612181674
10	NA	-0.016059205988027542	0.06026958284581554	NA	10	Liverpool [3] - 0 Norwich	0	NA	NA	88.11410625177393	5.520545081748098	0	FALSE	NA	NA	-0.32118411976055083	1.2053916569163108	1.2474487105086962	-1.310390408638946	-0.25747280593971306	0.9662855448580047
11	NA	-0.019699493640191433	0.05486610935796023	NA	11	Liverpool [3] - 0 Norwich	0	NA	NA	88.09440675813374	5.575411191106049	0	FALSE	NA	NA	-0.39398987280382863	1.0973221871592045	1.165909088352877	-1.226084959677435	-0.3379250378435875	0.9411730280869773
12	NA	-0.02319204223619742	0.0506193133344027	NA	12	Liverpool [3] - 0 Norwich	0	NA	NA	88.07121471589754	5.626030504440451	0	FALSE	NA	NA	-0.4638408447239484	1.0123862666880539	1.1135862257646694	-1.1411724397607457	-0.41652889914783336	0.9091224758934817
13	NA	-0.026536851776049277	0.047529194775142974	NA	13	Liverpool [3] - 0 Norwich	0	NA	NA	88.0446778641215	5.6735596992156045	0	FALSE	NA	NA	-0.5307370355209855	0.9505838955028595	1.0887109548741554	-1.06158220698369	-0.4874912235840721	0.8731278869263679
14	NA	-0.02973392225975076	0.04559575368017135	NA	14	Liverpool [3] - 0 Norwich	0	NA	NA	88.01494394186174	5.719155452895776	0	FALSE	NA	NA	-0.5946784451950151	0.911915073603427	1.0886834042294868	-0.9929319176369902	-0.5462363464756748	0.837631096479176
15	NA	-0.03278325368729057	0.04481899004949753	NA	15	Liverpool [3] - 0 Norwich	0	NA	NA	87.98216068817445	5.763974442945273	0	FALSE	NA	NA	-0.6556650737458114	0.8963798009899505	1.1105824762496856	-0.9392674393458571	-0.5903794520150543	0.8071258282562913
16	NA	-0.03568484605869131	0.04519890388313114	NA	16	Liverpool [3] - 0 Norwich	0	NA	NA	87.94647584211576	5.809173346828395	0	FALSE	NA	NA	-0.7136969211738261	0.9039780776626228	1.1517550348001997	-0.90248645186157594	-0.6196603440918619	0.7848700898619819
17	NA	-0.03843869937391908	0.04673549518104323	NA	17	Liverpool [3] - 0 Norwich	0	NA	NA	87.90803714274183	5.855908842009457	0	FALSE	NA	NA	-0.7687739874783817	0.9347099036208646	1.2102462756605934	-0.8825015458162677	-0.6352211140321492	0.7723303284785308
18	NA	-0.041044813632996474	0.04942876394326276	NA	18	Liverpool [3] - 0 Norwich	0	NA	NA	87.86699232910884	5.90533760595272	0	FALSE	NA	NA	-0.8208962726599295	0.9885752788652552	1.284971506474164	-0.8778016593458797	-0.6388439498649962	0.7693363423892635
19	NA	-0.04350318883591975	0.05327871016977042	NA	19	Liverpool [3] - 0 Norwich	0	NA	NA	87.82348914027293	5.95861631612248	0	FALSE	NA	NA	-0.870063776718395	1.0655742033954083	1.3756668777357535	-0.8860624372836494	-0.6324669080863937	0.7745873805941051
20	NA	-0.045813824982703935	0.05828533386058552	NA	20	Liverpool [3] - 0 Norwich	0	NA	NA	87.77767531529021	6.016901649983065	0	FALSE	NA	NA	-0.9162764996540786	1.1657066772117104	1.4827119346367648	-0.9046339927711933	-0.6179733758456246	0.7861990248950721
21	NA	-0.04797672207330764	0.06444863501570808	NA	21	Liverpool [3] - 0 Norwich	0	NA	NA	87.72969859321691	6.081350284998765	0	FALSE	NA	NA	-0.9595344414661527	1.2889727003141616	1.6069091344923467	-0.9308772994035301	-0.5971304916187984	0.8021441117274952
22	NA	-0.04999188010777225	0.07176861363509943	NA	22	Liverpool [3] - 0 Norwich	0	NA	NA	87.67970671310913	6.153118898633874	0	FALSE	NA	NA	-0.999837602155445	1.4353722727019884	1.7492766481965114	-0.9623759285916073	-0.5715720284646049	0.8205518973696039
